d10,length_value,length_type,speed_value,speed_type,lanes_value,lanes_type
15090458,146.38444143946128,float,,NoneType,1,str
260654706,113.48076438556667,float,50,str,4,str
15090458,6.328072692376016,float,,NoneType,1,str
267306863,62.358907200077105,float,,NoneType,3,str
440670050,8.795654425042068,float,,NoneType,2,str
288320340,10.756179129013374,float,,NoneType,,NoneType
1065434078,26.47641111391809,float,,NoneType,2,str
15090498,9.25981333252057,float,,NoneType,2,str
43693977,28.597075417355335,float,50,str,4,str
96629930,3.950873600976643,float,50,str,4,str
96629876,3.8546416997874173,float,50,str,4,str
1234144801,3.6594625667286698,float,50,str,4,str
642940580,47.826945132379464,float,50,str,3,str
642940580,10.080988176559343,float,50,str,3,str
642940580,5.773543688990545,float,50,str,3,str
20275701,38.51444120123057,float,30,str,1,str
951553794,133.61104047380218,float,50,str,4,str
672175904,22.788041363263535,float,50,str,4,str
96629914,44.6604614936205,float,50,str,2,str
96629914,66.65544045839998,float,50,str,2,str
672179289,88.21159441250981,float,50,str,2,str
1289823631,33.1729804896031,float,50,str,4,str
672974417,28.16915262558759,float,50,str,4,str
695094195,133.55389523694146,float,50,str,3,str
907861147,113.54374693498124,float,50,str,3,str
698305781,17.41468100230083,float,50,str,4,str
24598340,90.35582913757186,float,,NoneType,2,str
38863397,10.9829688658112,float,,NoneType,2,str
96629930,8.492609689463801,float,50,str,4,str
22992939,19.15310500487124,float,,NoneType,,NoneType
905950771,16.48569387738124,float,,NoneType,,NoneType
905950772,15.507660663984506,float,,NoneType,,NoneType
43699555,17.70176039655412,float,50,str,3,str
1233491082,11.395640271226775,float,,NoneType,3,str
661793090,67.32587853311,float,,NoneType,2,str
953080942,81.95269887067136,float,,NoneType,2,str
19848691,4.496436155203824,float,30,str,,NoneType
260618020,3.3619060153872447,float,50,str,2,str
953080550,4.266426724816905,float,50,str,2,str
230377102,4.041046160222275,float,30,str,,NoneType
953080099,54.16661186271636,float,50,str,2,str
953080550,64.62147896459513,float,50,str,2,str
690979046,1.3258532414930502,float,,NoneType,2,str
953080099,1.5882966759977608,float,50,str,2,str
69975256,10.682707154560362,float,30,str,,NoneType
454967846,9.811426352220646,float,,NoneType,3,str
672185579,8.286480824090857,float,,NoneType,3,str
1315643035,10.36516123173357,float,30,str,,NoneType
953079241,6.019829646361391,float,,NoneType,3,str
1315643034,5.024481845575038,float,,NoneType,3,str
69975255,11.270349378771789,float,50,str,2,str
346640091,5.88951958510542,float,30,str,,NoneType
953078700,70.76376205306056,float,50,str,2,str
1209298975,6.712457326960018,float,30,str,,NoneType
20316164,6.4711437027494885,float,30,str,,NoneType
451756746,2.6928717220568763,float,,NoneType,4,str
953078700,6.113411123221004,float,50,str,2,str
81104257,5.059473355505268,float,,NoneType,2,str
442347179,6.8850602929706355,float,,NoneType,2,str
538086282,14.587518554476468,float,,NoneType,5,str
1338892529,18.306330654188223,float,50,str,5,str
255067192,44.35100191898461,float,50,str,3,str
459903185,9.25194063609159,float,,NoneType,3,str
43699758,97.00461609373612,float,50,str,2,str
43699544,4.4956470130933734,float,50,str,3,str
258838423,11.827628132601783,float,,NoneType,2,str
671908756,7.242097866101103,float,,NoneType,2,str
511717872,2.428774886403245,float,50,str,2,str
904431778,10.666600786366077,float,,NoneType,2,str
1166098125,21.134680100959198,float,,NoneType,1,str
258849358,69.7957864160686,float,50,str,3,str
586710553,11.142364109320875,float,,NoneType,3,str
311754826,7.225818009236022,float,50,str,2,str
672179286,10.733212337458644,float,30,str,1,str
672179287,6.733369610171921,float,30,str,1,str
28107587,26.806103902664958,float,50,str,6,str
53562667,23.808631783462797,float,50,str,6,str
53562668,16.172776286877546,float,50,str,6,str
503016672,11.233313489302974,float,50,str,4,str
238198912,9.501889949384285,float,50,str,1,str
314726789,25.518277188045435,float,50,str,2,str
375682041,88.45056058530882,float,50,str,4,str
503016664,16.999804854673705,float,,NoneType,2,str
480520074,6.382011571112759,float,,NoneType,3,str
1151004370,6.024805818393154,float,,NoneType,3,str
15362166,3.3628103912118155,float,,NoneType,,NoneType
670304470,7.746086577018539,float,30,str,1,str
951272351,81.36772366502039,float,50,str,1,str
15361522,83.00619150780699,float,30,str,1,str
670304470,89.82970462666349,float,30,str,1,str
546579783,9.251749664666677,float,50,str,1,str
546579788,2.9019045344923424,float,50,str,3,str
258888784,7.536003842976613,float,50,str,1,str
651603537,7.079426530243977,float,50,str,2,str
15361522,118.06810003771535,float,30,str,1,str
1315708431,81.79034258019774,float,30,str,1,str
15362903,44.914044881499095,float,30,str,,NoneType
15363176,69.47538039236501,float,30,str,1,str
15361522,79.4862380938882,float,30,str,1,str
15363176,14.824912218901959,float,30,str,1,str
264576198,12.827724465754033,float,30,str,1,str
1255331977,115.11109897249064,float,30,str,1,str
690389939,69.66081797343685,float,,NoneType,2,str
15384917,104.81657079209882,float,,NoneType,3,str
157756038,12.02894504142106,float,,NoneType,1,str
15384917,11.260947857728084,float,,NoneType,3,str
1067288083,7.667881450203945,float,50,str,3,str
1183713458,9.568775351213441,float,,NoneType,1,str
1183713458,17.564639562427843,float,,NoneType,1,str
980089237,26.87646041212455,float,,NoneType,1,str
1002077562,12.756066182600042,float,,NoneType,,NoneType
1183713458,9.568775351213441,float,,NoneType,1,str
691268843,9.215682728732583,float,50,str,3,str
980089237,6.575835733659919,float,,NoneType,1,str
157756050,4.388079629165192,float,30,str,,NoneType
673224331,34.37177365614722,float,30,str,1,str
286672276,105.20246115811752,float,50,str,2,str
314726788,9.777720045287854,float,50,str,4,str
554835481,10.800669788773043,float,50,str,5,str
314726788,12.50390844280899,float,50,str,4,str
314726788,9.777720045287854,float,50,str,4,str
16376297,18.735540150872374,float,,NoneType,1,str
53562667,45.939609002412176,float,50,str,6,str
950163404,9.439533961617757,float,50,str,6,str
96493835,6.70925285955968,float,,NoneType,2,str
267646982,9.87636863784476,float,50,str,4,str
1327924318,154.94059842897977,float,30,str,2,str
22893216,6.514175531147274,float,30,str,1,str
404864481,5.731536792093518,float,40,str,,NoneType
953074961,51.912119253914405,float,40,str,,NoneType
20277457,5.157317767834168,float,30,str,,NoneType
267650891,3.4402604511696873,float,,NoneType,2,str
672924368,5.602880560164652,float,,NoneType,2,str
404360439,116.86972552991529,float,30,str,,NoneType
672990641,102.45231069224282,float,30,str,,NoneType
20309901,93.51454431945035,float,30,str,,NoneType
504603254,56.81650278228659,float,30,str,,NoneType
676214284,6.1876081703353245,float,,NoneType,3,str
480520074,6.382564423348084,float,,NoneType,3,str
20275109,6.823784859578255,float,50,str,7,str
256185603,19.843915727769616,float,,NoneType,2,str
1203490293,7.364788389727773,float,50,str,7,str
283133452,8.212326304621095,float,,NoneType,3,str
431859927,6.073007401740302,float,50,str,1,str
769446287,24.214187322076516,float,,NoneType,,NoneType
20275111,95.78248226976308,float,,NoneType,,NoneType
19790390,43.624040319309756,float,,NoneType,1,str
19790439,17.67607793384868,float,,NoneType,1,str
19790439,83.66571191719257,float,,NoneType,1,str
480989176,7.5617382284267265,float,,NoneType,1,str
769475704,60.889919511962404,float,,NoneType,1,str
541620978,14.310162886219755,float,50,str,3,str
671108370,3.925733378714284,float,,NoneType,1,str
34604573,26.328461903645124,float,,NoneType,,NoneType
34604576,47.71103399840588,float,40,str,2,str
19790458,50.78743901851576,float,,NoneType,,NoneType
451756751,46.22031220750661,float,,NoneType,1,str
19790475,3.7844332250608357,float,,NoneType,1,str
28107682,87.57324332326205,float,50,str,2,str
697852046,11.933225916856907,float,,NoneType,,NoneType
19790439,12.814496505083309,float,,NoneType,1,str
19790439,17.802806624063507,float,,NoneType,1,str
475359061,8.3837665803646,float,50,str,,NoneType
936872652,41.87120744607131,float,,NoneType,2,str
23960271,52.86769028435511,float,30,str,,NoneType
688819251,39.11956313224077,float,30,str,,NoneType
157756030,11.685569071404634,float,,NoneType,1,str
1283100161,9.594694419865464,float,30,str,3,str
287389528,5.300195501418934,float,30,str,,NoneType
936872655,1.2814862530913695,float,,NoneType,2,str
936872661,2.806304902734576,float,,NoneType,,NoneType
936872662,38.93610527625425,float,,NoneType,2,str
230377106,18.790040375370733,float,30,str,,NoneType
455584880,5.0803706498281755,float,30,str,,NoneType
255069198,99.0727026789143,float,50,str,3,str
1375160141,9.163598348395276,float,30,str,,NoneType
157690212,50.912196086926436,float,30,str,,NoneType
1291695470,31.462694554057077,float,30,str,,NoneType
297715318,28.668246571251668,float,30,str,,NoneType
406712454,49.92310573744047,float,50,str,3,str
414615526,10.803461260038283,float,30,str,,NoneType
287389528,38.80267368381428,float,30,str,,NoneType
414615526,59.828230404894,float,30,str,,NoneType
951538507,6.428456184706211,float,,NoneType,1,str
1218549604,2.1169890794634805,float,,NoneType,,NoneType
672126623,4.536454561454772,float,30,str,,NoneType
749217714,17.19715543335149,float,,NoneType,2,str
1158215887,14.975023364940776,float,30,str,,NoneType
1234937178,2.4231789089182096,float,30,str,,NoneType
157690232,38.77891011904078,float,30,str,,NoneType
232580906,42.97185301135456,float,30,str,,NoneType
157690188,60.90307579421963,float,,NoneType,,NoneType
157694469,13.788060422427723,float,,NoneType,,NoneType
406712453,11.506713995219199,float,50,str,1,str
1283100162,10.946707421290409,float,30,str,3,str
329206814,72.73789179436626,float,30,str,,NoneType
1251202562,101.5793276084486,float,30,str,,NoneType
287389528,69.89651576551911,float,30,str,,NoneType
329206814,82.05463939548468,float,30,str,,NoneType
329206814,83.38722216281785,float,30,str,,NoneType
1120597209,48.93121543143959,float,30,str,,NoneType
287251036,11.283766558600796,float,30,str,1,str
528935366,9.871623756421513,float,50,str,4,str
528935366,4.460516064985708,float,50,str,4,str
157690156,11.529725782230829,float,,NoneType,,NoneType
255117119,5.927370845979008,float,,NoneType,2,str
255117119,102.04158552369351,float,,NoneType,2,str
255069198,58.13784655802651,float,50,str,3,str
282699487,67.5049284347798,float,30,str,,NoneType
287389528,102.90768781392494,float,30,str,,NoneType
936872667,4.6887026286686595,float,30,str,,NoneType
936872668,74.25171263525718,float,,NoneType,2,str
329206814,67.56313850119128,float,30,str,,NoneType
936872667,103.96356289450236,float,30,str,,NoneType
1093799011,5.158957906331594,float,30,str,,NoneType
442347182,14.395024838731532,float,,NoneType,2,str
157690220,10.076167300110589,float,30,str,,NoneType
608968959,77.62762602714965,float,50,str,5,str
230377103,92.28845054446593,float,30,str,,NoneType
373332009,37.08894793860441,float,30,str,,NoneType
230377101,3.244291515500759,float,30,str,,NoneType
230377101,15.907862043344236,float,30,str,,NoneType
566032573,19.282010946994433,float,30,str,,NoneType
80062578,29.760913439212054,float,30,str,,NoneType
157756048,49.59610142213719,float,30,str,,NoneType
80062578,1.4173572925952564,float,30,str,,NoneType
458167915,78.61751974457748,float,30,str,,NoneType
503016691,88.92965701910323,float,30,str,,NoneType
458167915,72.80940782567822,float,30,str,,NoneType
1415598837,51.253692794667614,float,30,str,,NoneType
258407819,4.03306574739368,float,30,str,,NoneType
322426235,36.178702255424085,float,50,str,4,str
1104923027,7.956005786291251,float,50,str,4,str
111639651,24.509773912362792,float,30,str,,NoneType
460109464,29.088847830892544,float,30,str,,NoneType
111639651,6.600715984064945,float,30,str,,NoneType
1125888513,26.357089507844794,float,50,str,3,str
27408688,11.559334841732456,float,,NoneType,1,str
33851628,71.40926137067446,float,,NoneType,3,str
33851628,12.952052568912347,float,,NoneType,3,str
1120596351,11.186656582340806,float,,NoneType,1,str
293184554,5.165323158935462,float,,NoneType,,NoneType
1120597863,6.042466000044617,float,,NoneType,1,str
1315689570,1.699138656538153,float,,NoneType,,NoneType
80062578,17.314740592997065,float,30,str,,NoneType
247710305,7.0552564900022405,float,,NoneType,,NoneType
280990334,123.97836613689331,float,50,str,2,str
247710308,5.135719398942422,float,30,str,,NoneType
940759213,2.751339912099219,float,20,str,1,str
19851266,3.73381597883473,float,20,str,1,str
1224868379,6.31559474559817,float,30,str,,NoneType
1224868380,4.782147745247388,float,30,str,,NoneType
23855977,36.308255616499444,float,,NoneType,,NoneType
503016684,72.87541733687944,float,30,str,1,str
280990330,77.65578422591031,float,,NoneType,6,str
430804128,89.88162840777629,float,,NoneType,6,str
1340857573,10.165436337026803,float,,NoneType,,NoneType
1340857574,11.418757475425526,float,30,str,1,str
280465081,6.333519244523015,float,,NoneType,,NoneType
1315689567,5.42750097807783,float,,NoneType,,NoneType
53562670,4.70572453021665,float,50,str,6,str
280990330,19.484597674977024,float,,NoneType,6,str
608148980,21.596372808675945,float,,NoneType,5,str
1264454169,17.704515846977127,float,30,str,,NoneType
53562670,63.12082330290812,float,50,str,6,str
280993924,77.25337781434662,float,50,str,6,str
503016691,10.886507008637949,float,30,str,,NoneType
19851266,74.26596178941382,float,20,str,1,str
503016691,71.1359518724425,float,30,str,,NoneType
19851266,64.02531130120461,float,20,str,1,str
23856022,55.62972778583483,float,30,str,,NoneType
19851266,31.98158110009055,float,20,str,1,str
1315945824,28.909426220720416,float,30,str,,NoneType
23856022,70.27843318572233,float,30,str,,NoneType
19851725,129.9531070099636,float,30,str,,NoneType
503016684,105.0514891521237,float,30,str,1,str
615374341,33.90430422624734,float,30,str,,NoneType
19851852,74.22237431411887,float,30,str,,NoneType
615374340,34.891953531222406,float,30,str,,NoneType
19851885,10.381886082269478,float,,NoneType,,NoneType
280990331,22.03121394531711,float,,NoneType,4,str
480520074,6.384405287679637,float,,NoneType,3,str
96645536,18.15546711610827,float,,NoneType,3,str
679010800,8.61541902395792,float,,NoneType,3,str
676214283,3.811835967372259,float,,NoneType,3,str
1151005482,6.703627132306209,float,,NoneType,3,str
1151005482,6.704397985162136,float,,NoneType,3,str
676214284,6.191515145962804,float,,NoneType,3,str
676214284,5.935761407817261,float,,NoneType,3,str
679010800,8.60681973229396,float,,NoneType,3,str
1151004370,6.015823174355536,float,,NoneType,3,str
20275701,80.74941994356394,float,30,str,1,str
951270565,4.361195911074779,float,30,str,1,str
1255331671,90.602626671142,float,30,str,1,str
20275701,68.82895285305148,float,30,str,1,str
264576198,83.93398078206853,float,30,str,1,str
1255331674,16.963529694046105,float,30,str,1,str
